Adria Airways, Ljubljana
Aegean Airlines, Athens, Heraklion, Kalamata, Chania, Rhodes
Aeroflot, Moscow-Sheremetyevo
Aeroflot operated by Rossiya, Saint Petersburg
airBaltic, Riga
Air Berlin, Berlin-Tegel
Air China, Beijing-Capital
Air France, Paris-Charles de Gaulle
Air Serbia, Belgrade
Alitalia, Rome-Fiumicino
Austrian Airlines, Vienna
Avies, Tallinn
Belavia, Minsk-National
British Airways, London-Heathrow
Bulgaria Air, Varna
Condor, Puerto Plata
Czech Airlines, Prague
Delta Air Lines, New York-JFK
Direktflyg operated by AIS Airlines, Hagfors, Torsby
easyJet Switzerland, Geneva
Emirates, Dubai-International
Estonian Air, Tallinn
Ethiopian Airlines, Addis Ababa, Vienna
Finnair, Helsinki, Bergen
Germania, Erbil, Sulaimaniyah
Germanwings, Cologne/Bonn, Hamburg
Germanwings operated by Eurowings, Cologne/Bonn, Düsseldorf, Hamburg
Höga Kusten Flyg operated by NextJet, Örnsköldsvik
Iberia Express, Madrid
Icelandair, Reykjavík-Keflavík
Iran Air, Tehran-Imam Khomeini
Iraqi Airways, Baghdad
Jet Time, Antalya, Bodrum, Chania, Dalaman, Fuerteventura, Gran Canaria, Hurghada, Izmir, Korfu, Larnaca, Palma de Mallorca, Split, Tenerife-South
KLM, Amsterdam
LOT Polish Airlines, Warsaw-Chopin
Lufthansa, Frankfurt, Munich
Luxair, Luxembourg
Nextjet, Arvidsjaur, Gällivare, Hemavan, Kramfors-Sollefteå, Lycksele, Mora, Sveg, Vilhelmina
Nextjet, Kokkola/Jakobstad, Mariehamn
Niki, Vienna
Norwegian Air Shuttle, Gothenburg-Landvetter, Kiruna, Luleå, Malmö, Umeå, Visby
Norwegian Air Shuttle, Alicante, Amsterdam, Bangkok-Suvarnabhumi, Barcelona, Belgrade, Bergen, Berlin-Schönefeld, Budapest, Catania, Copenhagen, Fort Lauderdale, Gran Canaria, Helsinki, Kraków, Las Vegas, London-Gatwick, Madrid, Málaga, Manchester, Munich, New York-JFK, Nice, Oakland, Oslo-Gardermoen, Paris-Orly, Prague, Riga, Rome-Fiumicino, San Juan, Sarajevo, Tel Aviv-Ben Gurion, Vilnius, Ajaccio, Athens, Bastia, Bordeaux, Bourgas, Chania, Dubai-International, Dubrovnik, Edinburgh, Faro, Geneva, Grenoble, Kos, Lanzarote, Larnaca, Los Angeles, Marrakech, Oakland, Olbia, Palermo, Palma de Mallorca, Pisa, Pula, Rhodes, Salzburg, Santorini, Split, Tenerife-South, Vaasa, Venice-Marco Polo
Novair, Burgas, Chania, Denpasar/Bali, Fuerteventura, Goa, Gran Canaria, Kefalonia, Larnaca, Mataram-Lombok, Preveza, Rhodes, Santorini, Sharm el-Sheikh, Zakynthos
Qatar Airways, Doha
Pegasus Airlines, Istanbul-Sabiha Gökçen
Royal Air Maroc, Casablanca
SATA International, Funchal, Ponta Delgada
Scandinavian Airlines, Ängelholm, Åre-Östersund, Gothenburg-Landvetter, Kalmar, Kiruna, Luleå, Malmö, Ronneby, Skellefteå, Sundsvall, Umeå
Scandinavian Airlines, Aalborg, Aarhus, Alicante, Amsterdam, Ankara, Athens, Barcelona, Bergen, Berlin-Tegel, Billund, Birmingham, Brussels, Budapest, Chicago-O'Hare, Copenhagen, Dublin, Düsseldorf, Edinburgh, Faro, Frankfurt, Geneva, Hamburg, Helsinki, Hong Kong, London-Heathrow, Malta, Málaga, Manchester, Milan-Linate, Milan-Malpensa, Moscow-Sheremetyevo, Munich, Newark, Nice, Oslo-Gardermoen, Oulu, Palma de Mallorca, Paris-Charles de Gaulle, Prague, Riga, Rome-Fiumicino, Saint Petersburg, Stavanger, Tampere, Thessaloniki, Tromsø, Trondheim, Turku, Vaasa, Vilnius, Zürich, Bastia, Biarritz, Bodø, Bologna, Bristol, Cagliari, Chania, Dubrovnik, Gazipaşa, Innsbruck, Naples, Olbia, Palermo, Pisa, Pristina, Pula, Sarajevo, Split, Tel Aviv-Ben Gurion, Venice-Marco Polo
Scandinavian Airlines operated by Blue1, Helsinki
Scandinavian Airlines operated by Braathens Regional, Aalborg, Billund, Oulu, Tampere, Turku, Vaasa, Vilnius
Scandinavian Airlines operated by Jet Time, Kalmar, Visby
Sparrow Aviation operated by BMI regional, Kristianstad
SunExpress, Antalya, İzmir
Swiss International Air Lines, Geneva, Zürich
TAP Portugal, Lisbon
TAROM, Bucharest
Thai Airways, Bangkok-Suvarnabhumi, Phuket
Thomas Cook Airlines Scandinavia, Agadir, Antalya, Aruba, Banjul, Bourgas, Cancún, Funchal, Gazipaşa, Gran Canaria, Hurghada, Larnaca, Marsa Alam, Palma de Mallorca, Punta Cana, Rhodes, Saint Martin, Sal, Tenerife-South, Varna
TUIfly Nordic operated by Thomson Airways, Cancún, Mauritius
Turkish Airlines, Ankara, Istanbul-Atatürk
Ukraine International Airlines, Kiev-Boryspil
United Airlines, Newark
Vueling, Barcelona
Zagrosjet, Erbil